_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
728;delicious;['delicious'];[('delicious', ['A'])];['D42200000'];['delicious'];[('delicious', ['A'])];[('delicious', 'A')];köstlich, lecker;[['köstlich'], ['lecker']];[''];[['48254'], ['547']];[''];[''];passiv;4/A2;I;a;;;['511']
729;expensive;['expensive'];[('expensive', ['A'])];['E21521000'];['expensive'];[('expensive', ['A'])];[('expensive', 'A')];teuer;[['teuer']];[''];['27'];[''];[''];aktiv;4/A2;I;a;£ 25 for a pizza? That's *expensive*!;;['512']
730;noodles (pl);['noodles'];[('noodles', ['N 3pl'])];['N342000'];['noodle'];[('noodle', ['N 3pl'])];[('noodle', 'N')];Nudeln;[['Nudeln']];[''];['6256'];[''];[''];passiv;4/A2;I;s;;;['513']
731;to join in;['to join in'];[('to', ['V TO']), ('join', ['V INF']), ('in', ['Prep'])];['T0 T500 T5'];['join', 'in'];[('join', ['V INF']), ('in', ['Prep'])];[('join', 'V'), ('in', 'Prep')];mitmachen;[['mitmachen']];[''];['62646'];[''];[''];passiv;4/A2;I;ph;;;['514']
732;to go canoeing;['to go canoeing'];[('to', ['V TO']), ('go', ['V INF']), ('canoeing', ['V PROG'])];['T0 T0 T5520000'];['go', 'canoe'];[('go', ['V INF']), ('canoe', ['V PROG'])];[('go', 'V'), ('canoe', 'V')];Kanufahren gehen;[['Kanufahren gehen']];[''];['46376 46'];[''];[''];passiv;4/A2;I;ph;;;['515']
733;canoeing (no pl);['canoeing'];[('canoeing', ['V PROG'])];['C5520000'];['canoe'];[('canoe', ['V PROG'])];[('canoe', 'V')];Kanufahren;[['Kanufahren']];[''];['46376'];[''];[''];passiv;4/A2;I;s;;;['515']
734;exciting;['exciting'];[('exciting', ['A'])];['E2352000'];['excite'];[('excite', ['A'])];[('excite', 'A')];aufregend, spannend;[['aufregend'], ['spannend']];[''];[['037462'], ['81662']];[''];[''];aktiv;4/A2;I;a;*exciting* <> boring;;[]
735;castle;['castle'];[('castle', ['N 3sg'])];['C23400'];['castle'];[('castle', ['N 3sg'])];[('castle', 'N')];Burg, Schloss;[['Burg'], ['Schloss']];[''];[['174'], ['858']];[''];[''];passiv;4/A2;I;s;;;[]
736;adult;['adult'];[('adult', ['N 3sg'])];['A3430'];['adult'];[('adult', ['N 3sg'])];[('adult', 'N')];Erwachsene/r;[['Erwachsene'], ['Erwachsener']];[''];[['073486'], ['0734867']];[''];[''];aktiv;4/A2;I;s;*adult* <> child;;['517']
737;way;['way'];[('way', ['N 3sg'])];['W00'];['way'];[('way', ['N 3sg'])];[('way', 'N')];Weg, hier: Art und Weise;[['Weg'], ['Art und Weise']];[''];[['34'], ['072 062 38']];[''];[''];aktiv;4/A2;I;s;;;['518']
738;to visit;['to visit'];[('to', ['V TO']), ('visit', ['V INF'])];['T0 T2300'];['visit'];[('visit', ['V INF'])];[('visit', 'V')];besuchen, anschauen;[['besuchen'], ['anschauen']];[''];[['1846'], ['0686']];[''];[''];aktiv;4/A2;I;v;I often *visit* my friends at the weekend.;;['519']
739;best;['best'];[('best', ['A SUPER'])];['B230'];['best'];[('best', ['A SUPER'])];[('best', 'A')];beste(r, s);[['beste'], ['bester'], ['bestes']];[''];[['182'], ['1827'], ['1828']];[''];[''];aktiv;4/A2;I;a;Sarah is my *best* friend.;;[]
740;to have a good time;['to have a good time'];[('to', ['V TO']), ('have', ['V INF']), ('a', ['Det']), ('good', ['A']), ('time', ['N 3sg'])];['T0 T100 T T300 T500'];['have', 'a', 'good', 'time'];[('have', ['V INF']), ('a', ['Det']), ('good', ['A']), ('time', ['N 3sg'])];[('have', 'V'), ('a', 'Det'), ('good', 'A'), ('time', 'N')];(viel) Spaß haben;[['Spaß haben'], ['viel Spaß haben']];[''];[['818 016'], ['35 818 016']];[''];[''];passiv;4/A2;I;ph;;;['522']
741;playing field;['playing field'];[('playing', ['V PROG']), ('field', ['N 3sg'])];['P452000 P4300'];['play', 'field'];[('play', ['V PROG']), ('field', ['N 3sg'])];[('play', 'V'), ('field', 'N')];Sportplatz, Spielfeld;[['Sportplatz'], ['Spielfeld']];[''];[['8172158'], ['815352']];[''];[''];passiv;4/A2;I;s;;;['523']
742;tree;['tree'];[('tree', ['N 3sg'])];['T600'];['tree'];[('tree', ['N 3sg'])];[('tree', 'N')];Baum;[['Baum']];[''];['16'];[''];[''];aktiv;4/A2;I;s;We've got an apple *tree* in our garden.;;['523']
743;flower;['flower'];[('flower', ['N 3sg'])];['F46000'];['flower'];[('flower', ['N 3sg'])];[('flower', 'N')];Blume;[['Blume']];[''];['156'];[''];[''];aktiv;4/A2;I;s;*flower*;ID1394771;['523']
744;a day;['a day'];[('a', ['Det']), ('day', ['N 3sg'])];['A A00'];['a', 'day'];[('a', ['Det']), ('day', ['N 3sg'])];[('a', 'Det'), ('day', 'N')];pro Tag;[['pro Tag']];[''];['17 24'];[''];[''];passiv;4/A2;I;ph;;;['510', '520', '508']
745;to add (sth to sth);[['to add'], ['to add sth to sth'], ['to add sth to']];[[('to', ['V TO']), ('add', ['V INF'])]];[['T0 T30'], ['T0 T30 T30 T0 T30'], ['T0 T30 T30 T0']];[['add']];[[('add', ['V INF'])]];[[('add', 'V')]];(etw etw) hinzufügen;[['hinzufügen'], ['etw etw hinzufügen']];[''];[['068346'], ['023 023 068346']];[''];[''];aktiv;4/A3;I;v;;;[]
746;area;['area'];[('area', ['N 3sg'])];['A600'];['area'];[('area', ['N 3sg'])];[('area', 'N')];Gebiet, Region, Gegend;[['Gebiet'], ['Region'], ['Gegend']];[''];[['412'], ['746'], ['4462']];[''];[''];passiv;4/A4;I;s;;;[]
747;British;['British'];[('British', ['A'])];['B632000'];['British'];[('British', ['A'])];[('British', 'A')];britisch;[['britisch']];[''];['1728'];[''];[''];passiv;4/A4;I;s;;;[]
748;where;['where'];[('where', ['Adv wh'])];['W6000'];['where'];[('where', ['Adv wh'])];[('where', 'Adv')];wo, hier: wohin;[['wo'], ['wohin']];[''];[['3'], ['36']];[''];[''];aktiv;4/A4;I;av;*Where* do you want to go? - To London.;;[]
749;each;['each'];[('each', [['A']])];['E200'];['each'];[('each', [['A']])];[('each', 'A')];jede(r, s);[['jede'], ['jeder'], ['jedes']];[''];[['02'], ['027'], ['028']];[''];[''];aktiv;4/A4;I;a;She's wearing a ring on *each* finger.;ID1394767;[]
750;group;['group'];[('group', ['N 3sg'])];['G6100'];['group'];[('group', ['N 3sg'])];[('group', 'N')];Gruppe;[['Gruppe']];[''];['471'];[''];[''];aktiv;4/A4;I;s;;;[]
751;crisps (pl, BE);['crisps'];[('crisps', ['N 3pl'])];['C62120'];['crisp'];[('crisp', ['N 3pl'])];[('crisp', 'N')];Chips;[['Chips']];[''];['418'];[''];[''];passiv;4/B1;I;s;;;[]
752;to lie;['to lie'];[('to', ['V TO']), ('lie', ['V INF'])];['T0 T00'];['lie'];[('lie', ['V INF'])];[('lie', 'V')];liegen, sich hinlegen;[['liegen'], ['sich hinlegen']];[''];[['546'], ['84 06546']];[''];[''];aktiv;4/B2;I;irr;;;['530']
753;at the moment;['at the moment'];[('at', ['Prep']), ('the', ['Det']), ('moment', ['N 3sg'])];['A3 A00 A55300'];['at', 'the', 'moment'];[('at', ['Prep']), ('the', ['Det']), ('moment', ['N 3sg'])];[('at', 'Prep'), ('the', 'Det'), ('moment', 'N')];im Moment;[['im Moment']];[''];['06 6662'];[''];[''];aktiv;4/B2;I;ph;*at the moment* = now;;['531', '539', '545']
754;moment;['moment'];[('moment', ['N 3sg'])];['M55300'];['moment'];[('moment', ['N 3sg'])];[('moment', 'N')];Moment, Augenblick;[['Moment'], ['Augenblick']];[''];[['6662'], ['046154']];[''];[''];aktiv;4/B2;I;s;;;['531', '539', '545']
755;match;['match'];[('match', ['N 3sg'])];['M3200'];['match'];[('match', ['N 3sg'])];[('match', 'N')];Spiel;[['Spiel']];[''];['815'];[''];[''];passiv;4/B2;I;s;;;['540', '531', '545']
756;against;['against'];[('against', ['Prep'])];['A252300'];['against'];[('against', ['Prep'])];[('against', 'Prep')];gegen;[['gegen']];[''];['446'];[''];[''];passiv;4/B2;I;pr;;;['532', '540']
757;happy;['happy'];[('happy', ['A'])];['H1000'];['happy'];[('happy', ['A'])];[('happy', 'A')];glücklich, zufrieden, fröhlich;[['glücklich'], ['zufrieden'], ['fröhlich']];[''];[['45454'], ['83726'], ['3754']];[''];[''];aktiv;4/B2;I;a;*happy*;ID1383684;['533']
758;player;['player'];[('player', ['N 3sg'])];['P46000'];['player'];[('player', ['N 3sg'])];[('player', 'N')];Spieler/in;[['Spieler'], ['Spielerin']];[''];[['8157'], ['81576']];[''];[''];passiv;4/B2;I;s;;;['568', '533', '551']
759;to win;['to win'];[('to', ['V TO']), ('win', ['V INF'])];['T0 T50'];['win'];[('win', ['V INF'])];[('win', 'V')];gewinnen;[['gewinnen']];[''];['4366'];[''];[''];aktiv;4/B2;I;irr;It's 2-1. The Arsenal players *are winning*.;;['533']
760;magazine;['magazine'];[('magazine', ['N 3sg'])];['M2250000'];['magazine'];[('magazine', ['N 3sg'])];[('magazine', 'N')];Zeitschrift, Magazin;[['Zeitschrift'], ['Magazin']];[''];[['88732'], ['6486']];[''];[''];passiv;4/B2;I;s;;;['536']
761;budgie (= budgerigar) (informal);[['budgie'], ['budgerigar']];[[('budgie', ['N 3sg'])], [('budgerigar', ['N 3sg'])]];[['B32000'], ['B326260000']];[['budgie'], ['budgerigar']];[[('budgie', ['N 3sg'])], [('budgerigar', ['N 3sg'])]];[[('budgie', 'N')], [('budgerigar', 'N')]];Wellensittich;[['Wellensittich']];[''];['356824'];[''];[''];passiv;4/B2;I;s;;;['537']
762;cage;['cage'];[('cage', ['N 3sg'])];['C200'];['cage'];[('cage', ['N 3sg'])];[('cage', 'N')];Käfig;[['Käfig']];[''];['434'];[''];[''];aktiv;4/B2;I;s;;ID1394762;['537']
763;to form;['to form'];[('to', ['V TO']), ('form', ['V INF'])];['T0 T650'];['forme'];[('forme', ['V INF'])];[('forme', 'V')];formen, bilden;[['formen'], ['bilden']];[''];[['3766'], ['1526']];[''];[''];passiv;4/B3;I;v;;;[]
764;careful;['careful'];[('careful', ['A'])];['C614000'];['careful'];[('careful', ['A'])];[('careful', 'A')];vorsichtig;[['vorsichtig']];[''];['378424'];[''];[''];passiv;4/B3;I;a;;;[]
765;spelling;['spelling'];[('spelling', ['N 3sg'])];['S1452000'];['spell'];[('spell', ['N 3sg'])];[('spell', 'N')];Rechtschreibung, hier: Schreibweise;[['Rechtschreibung'], ['Schreibweise']];[''];[['7487164'], ['87138']];[''];[''];passiv;4/B3;I;s;;;[]
766;it's (= it is);"[[""it's""], ['it is']]";"[[(""it's"", ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('is', ['V 3sg PRES'])]]";[['I320'], ['I3 I2']];[['it is'], ['it', 'be']];[[('it is', ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('be', ['V 3sg PRES'])]];[[('it is', 'NVC')], [('it', 'Pron'), ('be', 'V')]];es ist, hier: hier spricht;[['es ist'], ['hier spricht']];[''];[['08 082'], ['07 81742']];[''];[''];passiv;4/B5;I;ph;;;['525', '537']
767;couch potato;['couch potato'];[('couch', ['N 3sg']), ('potato', ['N 3sg'])];['C2000 C33000'];['couch', 'potato'];[('couch', ['N 3sg']), ('potato', ['N 3sg'])];[('couch', 'N'), ('potato', 'N')];Couchpotato, Fernsehglotzer/in;[['Couchpotato'], ['Fernsehglotzer'], ['Fernsehglotzerin']];[''];[['44122'], ['37684587'], ['376845876']];[''];[''];passiv;4/B5;I;s;;;['548']
768;to answer the phone;['to answer the phone'];[('to', ['V TO']), ('answer', ['V INF']), ('the', ['Det']), ('phone', ['N 3sg'])];['T0 T52600 T00 T5000'];['answer', 'the', 'phone'];[('answer', ['V INF']), ('the', ['Det']), ('phone', ['N 3sg'])];[('answer', 'V'), ('the', 'Det'), ('phone', 'N')];ans Telefon gehen;[['ans Telefon gehen']];[''];['068 2536 46'];[''];[''];aktiv;4/B5;I;ph;;ID1394758;['552']
769;phone (= telephone);[['phone'], ['telephone']];[[('phone', ['N 3sg'])], [('telephone', ['N 3sg'])]];[['P5000'], ['P41500000']];[['phone'], ['telephone']];[[('phone', ['N 3sg'])], [('telephone', ['N 3sg'])]];[[('phone', 'N')], [('telephone', 'N')]];Telefon;[['Telefon']];[''];['2536'];[''];[''];aktiv;4/B5;I;s;;;['552']
770;telephone;['telephone'];[('telephone', ['N 3sg'])];['T41500000'];['telephone'];[('telephone', ['N 3sg'])];[('telephone', 'N')];Telefon;[['Telefon']];[''];['2536'];[''];[''];aktiv;4/B5;I;s;;;[]
771;so;['so'];[('so', [['Conj']])];['S0'];['so'];[('so', [['Conj']])];[('so', 'Conj')];also, deshalb;[['also'], ['deshalb']];[''];[['058'], ['2851']];[''];[''];aktiv;4/B5;I;k;;;[]
772;I guess …;['I guess'];[('I', ['Pron 1sg nom']), ('guess', ['V INF'])];['I I2000'];['I', 'guess'];[('I', ['Pron 1sg nom']), ('guess', ['V INF'])];[('I', 'Pron'), ('guess', 'V')];Ich schätze …;[['Ich schätze']];[''];['04 88'];[''];[''];aktiv;4/B5;I;ph;He has got basketball training today, *so I guess* he isn't at home.;;['552']
773;to show sb (a)round;[['to show round'], ['to show around'], ['to show sb round'], ['to show sb around']];[[('to', ['V TO']), ('show', ['V INF']), ('round', ['N 3sg'])], [('to', ['V TO']), ('show', ['V INF']), ('around', ['Part'])]];[['T0 T000 T5300'], ['T0 T000 T65300'], ['T0 T000 T1 T5300'], ['T0 T000 T1 T65300']];[['show', 'round'], ['show', 'around']];[[('show', ['V INF']), ('round', ['N 3sg'])], [('show', ['V INF']), ('around', ['Part'])]];[[('show', 'V'), ('round', 'N')], [('show', 'V'), ('around', 'Part')]];jdn herumführen;[['jdn herumführen']];[''];['026 076376'];[''];[''];passiv;4/B5;I;ph;;;[]
774;to mime;['to mime'];[('to', ['V TO']), ('mime', ['V INF'])];['T0 T500'];['mime'];[('mime', ['V INF'])];[('mime', 'V')];pantomimisch darstellen, mimen;[['pantomimisch darstellen'], ['mimen']];[''];[['162668 278256'], ['666']];[''];[''];passiv;4/B7;I;v;;;[]
775;action;['action'];[('action', ['N 3sg'])];['A23500'];['action'];[('action', ['N 3sg'])];[('action', 'N')];Handlung, Tat;[['Handlung'], ['Tat']];[''];[['062564'], ['22']];[''];[''];passiv;4/B7;I;s;;;[]
776;goal;['goal'];[('goal', ['N 3sg'])];['G400'];['goal'];[('goal', ['N 3sg'])];[('goal', 'N')];Ziel, Tor;[['Ziel'], ['Tor']];[''];[['85'], ['27']];[''];[''];passiv;4/B9;I;s;;;['570', '565']
777;to score (a goal);[['to score'], ['to score a goal']];[[('to', ['V TO']), ('score', ['N 3sg'])], [('to', ['V TO']), ('score', ['V INF']), ('a', ['Det']), ('goal', ['N 3sg'])]];[['T0 T6000'], ['T0 T6000 T T400']];[['score'], ['score', 'a', 'goal']];[[('score', ['N 3sg'])], [('score', ['V INF']), ('a', ['Det']), ('goal', ['N 3sg'])]];[[('score', 'N')], [('score', 'V'), ('a', 'Det'), ('goal', 'N')]];(ein Tor) schießen;[['schießen'], ['ein Tor schießen']];[''];[['886'], ['06 27 886']];[''];[''];passiv;4/B9;I;ph;;;[]
778;to use;['to use'];[('to', ['V TO']), ('use', ['V PAST STR', 'V INF', 'V INDAUX'])];['T0 T20'];['use'];[('use', ['V PAST STR', 'V INF', 'V INDAUX'])];[('use', 'V')];benutzen;[['benutzen']];[''];['1686'];[''];[''];aktiv;4/B9;I;v;;;[]
779;to cheer;['to cheer'];[('to', ['V TO']), ('cheer', ['V INF'])];['T0 T6000'];['cheer'];[('cheer', ['V INF'])];[('cheer', 'V')];jubeln;[['jubeln']];[''];['0156'];[''];[''];aktiv;4/B9;I;v;They *are cheering*.;ID575129;[]
780;to cry;['to cry'];[('to', ['V TO']), ('cry', ['V INF'])];['T0 T60'];['cry'];[('cry', ['V INF'])];[('cry', 'V')];weinen, schreien;[['weinen'], ['schreien']];[''];[['366'], ['876']];[''];[''];aktiv;4/B9;I;v;to *cry* <> to laugh;;[]
781;to walk off;['to walk off'];[('to', ['V TO']), ('walk', ['V INF']), ('off', [['V']])];['T0 T420 T10'];['walk', 'off'];[('walk', ['V INF']), ('off', [['V']])];[('walk', 'V'), ('off', 'V')];weggehen (von), hinuntergehen (von);[['weggehen'], ['weggehen von'], ['hinuntergehen'], ['hinuntergehen von']];[''];[['346'], ['346 36'], ['0662746'], ['0662746 36']];[''];[''];passiv;4/B9;I;v;;;[]
782;to say sorry;['to say sorry'];[('to', ['V TO']), ('say', ['V INF']), ('sorry', ['A'])];['T0 T00 T6000'];['say', 'sorry'];[('say', ['V INF']), ('sorry', ['A'])];[('say', 'V'), ('sorry', 'A')];sich entschuldigen;[['sich entschuldigen']];[''];['84 0685246'];[''];[''];aktiv;4/B9;I;ph;;;[]
783;somebody;['somebody'];[('somebody', ['Pron'])];['S5130000'];['somebody'];[('somebody', ['Pron'])];[('somebody', 'Pron')];(irgend)jemand, irgendwer;[['jemand'], ['irgendjemand'], ['irgendwer']];[''];[['0662'], ['07462662'], ['0746237']];[''];[''];aktiv;4/C2;I;p;Do you know *somebody* from London?;;[]
784;tall;['tall'];[('tall', ['A'])];['T400'];['tall'];[('tall', ['A'])];[('tall', 'A')];groß, hoch (gewachsen);[['groß'], ['hoch'], ['hoch gewachsen']];[''];[['478'], ['04'], ['04 43486']];[''];[''];aktiv;4/C2;I;a;*tall* <> small;;[]
785;blond(e);[['blond'], ['blonde']];[[('blond', ['A'])], [('blonde', ['N 3sg'])]];[['B4530'], ['B45300']];[['blond'], ['blonde']];[[('blond', ['A'])], [('blonde', ['N 3sg'])]];[[('blond', 'A')], [('blonde', 'N')]];blond;[['blond']];[''];['1562'];[''];[''];aktiv;4/C2;I;a;Emma has *blonde hair*.;;[]
786;hair (no pl);['hair'];[('hair', ['N 3sg'])];['H600'];['hair'];[('hair', ['N 3sg'])];[('hair', 'N')];Haare;[['Haare']];[''];['07'];[''];[''];aktiv;4/C2;I;s;;;[]
787;others (pl);['others'];[('others', ['N 3pl'])];['O36200'];['other'];[('other', ['N 3pl'])];[('other', 'N')];andere;[['andere']];[''];['0627'];[''];[''];aktiv;4/C2;I;p;Jo and Alex are here, but where are the *others*?;;[]
788;trousers (pl);['trousers'];[('trousers', ['N 3pl', 'N 3sg'])];['T6262000'];['trouser'];[('trouser', ['N 3pl', 'N 3sg'])];[('trouser', 'N')];Hose;[['Hose']];[''];['08'];[''];[''];aktiv;4/C2;I;s;;;[]
789;skirt;['skirt'];[('skirt', ['N 3sg'])];['S6300'];['skirt'];[('skirt', ['N 3sg'])];[('skirt', 'N')];Rock;[['Rock']];[''];['74'];[''];[''];aktiv;4/C2;I;s;She's wearing a *skirt*.;ID1383688;[]
790;this T-shirt;['this T-shirt'];[('this', ['Det']), ('T-shirt', ['N 3sg'])];['T200 T263000'];['this', 'T-shirt'];[('this', ['Det']), ('T-shirt', ['N 3sg'])];[('this', 'Det'), ('T-shirt', 'N')];dieses T-Shirt;[['dieses T-Shirt']];[''];['288 872'];[''];[''];passiv;4/C3;I;ph;;;['571']
791;shop assistant;['shop assistant'];[('shop', ['N 3sg']), ('assistant', ['N 3sg'])];['S100 S22353000'];['shop', 'assistant'];[('shop', ['N 3sg']), ('assistant', ['N 3sg'])];[('shop', 'N'), ('assistant', 'N')];Verkäufer/in;[['Verkäufer'], ['Verkäuferin']];[''];[['37437'], ['374376']];[''];[''];aktiv;4/C3;I;s;;;['578', '584', '588', '586', '575', '590']
792;We're just looking.;"[""We're just looking""]";"[(""We're"", ['NVC 1pl PRES']), ('just', ['Adv']), ('looking', ['V PROG'])]";['W6000 W230 W252000'];['we are', 'just', 'look'];[('we are', ['NVC 1pl PRES']), ('just', ['Adv']), ('look', ['V PROG'])];[('we are', 'NVC'), ('just', 'Adv'), ('look', 'V')];Wir schauen uns nur um.;[['Wir schauen uns nur um']];[''];['37 86 068 67 06'];[''];[''];aktiv;4/C3;I;ph;;;[]
793;How much is/are ...?;[['How much is'], ['How much are']];[[('How', ['Adv wh']), ('much', ['Adv']), ('is', ['V 3sg PRES'])], [('How', ['Adv wh']), ('much', ['A']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[['H00 H200 H2'], ['H00 H200 H60']];[['how', 'much', 'be'], ['how', 'much', 'are']];[[('how', ['Adv wh']), ('much', ['Adv']), ('be', ['V 3sg PRES'])], [('how', ['Adv wh']), ('much', ['A']), ('are', ['V 2sg PRES', 'V PRES pl'])]];[[('how', 'Adv'), ('much', 'Adv'), ('be', 'V')], [('how', 'Adv'), ('much', 'A'), ('are', 'V')]];Was kostet/kosten ...?;[['Was kostet'], ['Was kosten']];[''];[['38 4822'], ['38 4826']];[''];[''];aktiv;4/C3;I;ph;*How much are* these jeans? - They're £ 29.99.;;['577']
794;it's (= it is);"[[""it's""], ['it is']]";"[[(""it's"", ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('is', ['V 3sg PRES'])]]";[['I320'], ['I3 I2']];[['it is'], ['it', 'be']];[[('it is', ['NVC 3sg PRES neut'])], [('it', ['Pron 3sg neut']), ('be', ['V 3sg PRES'])]];[[('it is', 'NVC')], [('it', 'Pron'), ('be', 'V')]];es ist, hier: es kostet;[['es ist'], ['es kostet']];[''];[['08 082'], ['08 4822']];[''];[''];aktiv;4/C3;I;ph;How much is it? - *It's* £ 9.99.;;['651']
795;Why don't you buy it anyway?;"[""Why don't you buy it anyway""]";"[('Why', ['Adv']), (""don't"", ['V CONTR NEG PRES']), ('you', ['Pron 2nd nomacc']), ('buy', ['V INF']), ('it', ['Pron 3sg neut']), ('anyway', ['Adv'])]";['W00 W5300 W00 W00 W3 W50000'];['why', 'do', 'you', 'buy', 'it', 'anyway'];[('why', ['Adv']), ('do', ['V CONTR NEG PRES']), ('you', ['Pron 2nd nomacc']), ('buy', ['V INF']), ('it', ['Pron 3sg neut']), ('anyway', ['Adv'])];[('why', 'Adv'), ('do', 'V'), ('you', 'Pron'), ('buy', 'V'), ('it', 'Pron'), ('anyway', 'Adv')];Warum kaufst du es nicht trotzdem?;[['Warum kaufst du es nicht trotzdem']];[''];['376 4382 2 08 642 27826'];[''];[''];passiv;4/C3;I;ph;;;[]
796;these jeans;['these jeans'];[('these', ['Det']), ('jeans', ['N 3pl', 'N 3sg'])];['T2000 T5200'];['these', 'jean'];[('these', ['Det']), ('jean', ['N 3pl', 'N 3sg'])];[('these', 'Det'), ('jean', 'N')];diese Jeans;[['diese Jeans']];[''];['28 068'];[''];[''];passiv;4/C3;I;ph;;;['582']
797;size;['size'];[('size', ['N 3sg'])];['S200'];['size'];[('size', ['N 3sg'])];[('size', 'N')];Größe;[['Größe']];[''];['478'];[''];[''];aktiv;4/C3;I;s;Have you got them in *size* 10?;;['583', '590']
798;here you are;['here you are'];[('here', ['Adv']), ('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])];['H600 H00 H60'];['here', 'you', 'are'];[('here', ['Adv']), ('you', ['Pron 2nd nomacc']), ('are', ['V 2sg PRES', 'V PRES pl'])];[('here', 'Adv'), ('you', 'Pron'), ('are', 'V')];Hier, bitte!, Bitte schön!;[['Hier, bitte!'], ['Bitte schön!']];[''];[['07  12'], ['12 86']];[''];[''];aktiv;4/C3;I;ph;Can I have your book? - *Here you are.*;;[]
799;on special offer;['on special offer'];[('on', ['Prep']), ('special', ['A']), ('offer', ['N 3sg'])];['O5 O124000 O1600'];['on', 'special', 'off'];[('on', ['Prep']), ('special', ['A']), ('off', ['N 3sg'])];[('on', 'Prep'), ('special', 'A'), ('off', 'N')];im Sonderangebot;[['im Sonderangebot']];[''];['06 86276412'];[''];[''];passiv;4/C3;I;ph;;;[]
800;offer;['offer'];[('offer', ['N 3sg'])];['O1600'];['off'];[('off', ['N 3sg'])];[('off', 'N')];Angebot;[['Angebot']];[''];['06412'];[''];[''];passiv;4/C3;I;s;;;[]
801;cheap;['cheap'];[('cheap', ['A'])];['C1000'];['cheap'];[('cheap', ['A'])];[('cheap', 'A')];billig, preiswert;[['billig'], ['preiswert']];[''];[['154'], ['178372']];[''];[''];aktiv;4/C3;I;a;*cheap* <> expensive;;[]
802;to try on;['to try on'];[('to', ['V TO']), ('try', ['V INF']), ('on', ['Part'])];['T0 T60 T5'];['try', 'on'];[('try', ['V INF']), ('on', ['Part'])];[('try', 'V'), ('on', 'Part')];anprobieren;[['anprobieren']];[''];['0617176'];[''];[''];aktiv;4/C3;I;ph;I like these jeans. Can I *try* them *on*?;;['587']
803;to fit;['to fit'];[('to', ['V TO']), ('fit', ['V PAST STR', 'V PPART STR', 'V INF'])];['T0 T30'];['fit'];[('fit', ['V PAST STR', 'V PPART STR', 'V INF'])];[('fit', 'V')];passen;[['passen']];[''];['186'];[''];[''];aktiv;4/C3;I;v;;ID1394784;['588']
804;long;['long'];[('long', ['A'])];['L520'];['long'];[('long', ['A'])];[('long', 'A')];lang;[['lang']];[''];['564'];[''];[''];aktiv;4/C3;I;a;;ID1394784;[]
805;after all;['after all'];[('after', ['Prep']), ('all', ['Det'])];['A1360 A40'];['aft', 'all'];[('aft', ['Prep']), ('all', ['Det'])];[('aft', 'Prep'), ('all', 'Det')];schließlich, hier: zumindest;[['schließlich'], ['zumindest']];[''];[['85854'], ['866282']];[''];[''];passiv;4/C3;I;ph;;;[]
806;customer;['customer'];[('customer', ['N 3sg'])];['C2356000'];['custom'];[('custom', ['N 3sg'])];[('custom', 'N')];Kunde/Kundin;[['Kunde'], ['Kundin']];[''];[['462'], ['4626']];[''];[''];aktiv;4/C3;I;s;*customer* <> shop assistant;;[]
807;to go shopping;['to go shopping'];[('to', ['V TO']), ('go', ['V INF']), ('shopping', ['N 3sg'])];['T0 T0 T1520000'];['go', 'shop'];[('go', ['V INF']), ('shop', ['N 3sg'])];[('go', 'V'), ('shop', 'N')];einkaufen gehen;[['einkaufen gehen']];[''];['06436 46'];[''];[''];aktiv;4/C4;I;ph;;;[]
808;to be missing;['to be missing'];[('to', ['V TO']), ('be', ['V INF']), ('missing', ['V PROG'])];['T0 T0 T252000'];['be', 'missing'];[('be', ['V INF']), ('missing', ['V PROG'])];[('be', 'V'), ('missing', 'V')];fehlen;[['fehlen']];[''];['356'];[''];[''];aktiv;4/C5;I;ph;I can't find my new T-shirt. It's *missing*.;;[]
809;to be a pity;['to be a pity'];[('to', ['V TO']), ('be', ['V INF']), ('a', ['Det']), ('pity', ['N 3sg'])];['T0 T0 T T300'];['be', 'a', 'pity'];[('be', ['V INF']), ('a', ['Det']), ('pity', ['N 3sg'])];[('be', 'V'), ('a', 'Det'), ('pity', 'N')];schade/bedauerlich sein;[['schade sein'], ['bedauerlich sein']];[''];[['82 86'], ['12754 86']];[''];[''];passiv;4/C5;I;ph;;;[]
810;street;['street'];[('street', ['N 3sg'])];['S36300'];['street'];[('street', ['N 3sg'])];[('street', 'N')];Straße;[['Straße']];[''];['8278'];[''];[''];aktiv;4/C5;I;s;;;['601']
811;artist;['artist'];[('artist', ['N 3sg'])];['A63230'];['artist'];[('artist', ['N 3sg'])];[('artist', 'N')];Künstler/in;[['Künstler'], ['Künstlerin']];[''];[['468257'], ['4682576']];[''];[''];passiv;4/C5;I;s;;;['601']
